"","V1","Q1.Eco.Info.Important","Q2.Belief.In.Eco.Label","Q3.Understand.Eco.Certificate","Q4.Individuals.Can.Improve.Environment","Q5.Corporation.Can.Improve.Environment","Q6.Need.Eco.Certificate.Fashion","Q7.Eco.Cert.Help.Buyers","Q8.Seek.For.Eco.Cert.Clothes","Q9.Buy.Eco.Product","Q10.Pay.More.For.Eco.Products","Q11.Pay.Premium.For.Eco.Clothing","Q12.Ready.To.Pay.More.For.Certified.Eco.Products","Q13.Reduce.Consumption","Q14.Protect.Environment","Q15.Purchase.Less.Harmful.Clothing","Q16.Avoid.Buying.Harmful.Products","Q17.Support.Environmental.Protection","Q18.Rather.Buy.Eco.Clothes","Q19.Price.Of.Eco.Products.More.On.Average","Q20.Prefer.Purchase.More.Expensive.Clothing","Q21.Eco.Label.Brand.Socially.Acceptable","Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand","Q23.Rarely.Swith.Brand.To.Try.Something.New","Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded","Q25.Eco.Clothing.More.Fashionable","Q26.Eco.Clothing.Quality.Higher","Q27.Country.Can.Positively.Influence.Environment","Q28.Support.Eco.Protection.Socially.Responsible","Q29.Satisfied.Purchasing.Eco.Clothing","Q30a.Fair.Trade","Q30b.Fair.And.Care","Q30c.Global.Organic.Textile.Standard","Q30d.Fair.Wear.Foundation","Q30e.Clean.Clothes.Campaign","Q30f.Oeko.Tex","Q30g.I.Know.None.Of.Them","Q31a.Fit","Q31b.Comfort","Q31c.Fibre.Material","Q31d.Quality.Workmanship","Q31e.Garment.Life","Q31f.Colour","Q31g.Style","Q31h.Brand","Q31i.Price","Q31j.COO","Q31k.Durability","Q31l.Certified.Eco.Label","Q31m.Certified.Ethical.Label","Q38a.Less.Water.Use","Q38b.Air.Quality","Q38c.Less.Energy.Use","Q38d.Worker.Safety","Q38e.Fair.Wages","Q38f.No.Child.Labour","Q38g.No.Animal.Skin.Use","Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends","Q33.Little.Shopping.New.Fashion.Than.My.Friends","Q34.Last.Of.My.Circle.Purchase.New.Fashion","Q35.Faster.Knowing.More.About.New.Fashion.Than.Others","Q36.Interest.Buying.Locally.Available.New.Style","Q37.Consider.Buying.New.Styles.Without.Heard.About.It","Q39.Annual.Spending.On.Clothes","Q40.Employment.Status","Q41.Sex","Q42.Income","Q43.Age","Q44.Highest.Level.Of.Education","total_score"
"11",11,5,4,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,4,4,4,3,3,3,4,5,5,2,2,2,2,2,5,2,3,2,3,2,3,2,4,3,2,4,4,3,15
"12",12,4,4,4,4,5,3,4,3,4,4,3,3,3,2,3,4,4,3,4,3,4,3,4,4,3,3,5,5,4,1,1,1,1,1,1,1,5,5,4,5,4,4,4,4,5,4,4,4,3,3,3,2,2,2,5,3,4,3,4,3,3,3,4,4,1,7,2,4,20
"13",13,4,4,4,4,5,4,4,4,5,4,4,4,3,4,4,4,4,4,5,3,4,3,4,2,4,4,5,4,4,1,1,1,1,1,1,1,5,5,4,4,3,4,4,2,5,2,2,3,4,2,3,3,2,3,2,3,3,3,2,2,4,4,3,7,2,8,4,2,18
"14",14,4,4,4,4,4,4,4,3,3,3,3,2,3,3,4,4,4,3,3,2,3,3,4,4,3,4,4,4,4,1,1,1,1,1,1,1,5,5,4,4,4,4,4,2,4,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,4,2,1,1,3,18
"15",15,4,4,3,5,5,4,3,3,4,3,3,3,4,3,3,3,2,3,5,2,3,3,2,2,3,3,5,4,3,1,1,1,1,1,1,1,5,5,4,4,4,5,5,4,4,1,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,5,7,4,1,11,1,3,20
"16",16,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,5,2,1,4,3,2,5,4,1,1,1,1,1,1,1,4,4,3,3,5,4,4,1,3,2,4,3,3,2,5,5,2,2,2,5,2,1,2,2,2,2,3,4,2,2,1,3,11
"17",17,5,3,4,5,4,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,3,4,4,5,2,2,2,2,2,2,2,3,2,3,3,3,3,1,6,1,1,2,1,17
"18",18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,2,5,1,8,3,2,18
"19",19,5,5,5,4,5,5,4,4,4,3,2,2,3,4,5,4,5,4,3,3,4,2,2,2,4,3,5,5,4,1,1,1,1,1,1,1,4,5,3,4,2,4,4,3,3,3,3,4,4,2,2,2,5,5,5,5,2,2,1,3,2,3,2,6,2,2,4,1,13
"20",20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,2,3,3,3,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,5,6,3,2,10,2,3,21
"21",21,4,4,3,4,3,4,4,4,4,3,3,3,4,5,5,4,5,4,4,4,4,2,2,4,4,4,5,5,4,1,1,1,1,1,1,1,4,5,4,5,4,4,5,5,4,4,4,4,4,2,5,2,5,2,5,5,3,3,4,4,4,4,2,3,2,3,4,2,22
"22",22,5,4,5,5,5,5,5,5,5,3,3,3,5,5,5,5,3,5,4,4,4,3,3,3,3,3,5,5,4,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,5,3,3,4,3,3.25,3.55,3.44,3.18,3.1,3.44,4.05,1,1,1,3,3,5,2.51,3.125,1.51,4.63333333333333,1.94,2.93,14
"23",23,5,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,4,3,3,4,2,4,4,4,3,1,1,1,1,1,1,1,5,4,4,5,4,4,4,4,3,3,4,2,3,3,3,3,2,2,5,5,2,2,2,3,3,3,2,4,2,1,1,3,15
"24",24,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,2,4,4,4,4,4,1,1,1,1,1,1,1,5,5,4,4,4,5,5,3,5,2,5,4,4,2,2,3,2,2,3,2,2,2,2,2,2,3,3,4,2,1,1,3,13
"25",25,5,3,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,2,2,2,3,3,4,4,4,1,1,1,1,1,1,1,5,5,5,5,4,4,4,3,3,2,3,3,3,2,2,2,2,2,5,5,2,2,2,3,3,2,3,3,1,6,1,3,14
"26",26,5,5,4,4,5,4,5,4,5,3,3,3,3,4,5,4,4,4,4,3,5,2,3,3,3,3,3,4,4,1,1,1,1,1,1,1,5,5,5,4,3,4,4,4,5,3,4,5,5,3,5,5,5,5,5,5,4,4,4,3,4,4,7,4,2,8,2,3,23
"27",27,4,4,5,3,5,4,4,4,4,2,3,3,4,4,4,4,4,4,3,3,3,4,4,3,3,3,4,4,4,1,1,1,1,1,1,1,4,5,5,5,3,4,5,5,4,2,5,3,4,2,2,2,2,2,5,3,4,4,4,4,4,4,5,4,2,6,1,3,24
"28",28,3,4,4,5,5,3,3,3,4,3,3,4,4,3,4,4,3,3,3,3,4,2,3,2,3,3,4,4,3,1,1,1,1,1,1,1,5,4,4,4,3,4,4,4,3,2,4,3,3,3,3,3,3,3,2,3,4,4,3,2,3,4,2,4,2,11,1,4,20
"29",29,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,1,3,1,3,4,4,5,4,1,1,1,1,1,1,1,4,5,5,3,5,3,3,3,4,3,4,4,4,2,2,2,5,2,5,5,4,2,3,3,3,2,3,3,2,4,2,4,17
"30",30,5,4,3,5,5,5,5,5,5,3,4,3,5,5,5,5,5,5,3,3,5,2,4,3,3,3,5,5,5,1,1,1,1,1,1,1,5,5,3,5,3,4,5,2,4,2,3,3,5,3,2,2,5,5,5,5,3,2,3,3,3,3,4,4,2,1,1,4,17
"31",31,4,3,4,4,5,5,3,3,5,3,3,3,4,3,4,3,3,3,5,3,3,2,4,2,5,3,5,4,3,1,1,1,1,1,1,1,5,4,4,5,3,3,4,2,5,1,3,3,3,2,2,2,3,2,2,1,1,1,2,3,3,4,1,1,2,1,1,3,14
"32",32,5,4,3,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,3,3,2,2,1,5,3,5,5,5,1,1,1,1,1,1,1,5,5,5,5,4,5,5,3,5,3,5,3,5,3,3,2,5,5,5,5,1,5,5,3,5,5,4,4,2,1,2,4,24
"33",33,5,4,2,5,5,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,4,4,4,3,4,4,4,1,1,1,1,1,1,1,5,5,4,5,3,4,4,3,4,2,3,3,4,2,2,2,2,2,2,3,2,2,2,2,4,3,4,4,2,2,1,3,15
"34",34,4,4,3,4,4,4,4,3,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,5,5,5,5,4,4,5,3,4,2,4,2,4,3,2,2,2,2,3,2,5,3,4,3,3,4,4,4,1.67,1,1,1,22
"35",35,4,4,2,4,5,4,4,4,4,4,4,3,4,4,5,4,4,4,5,4,4,2,4,2,4,4,3,4,4,1,1,1,1,1,1,1,5,5,2,4,3,4,3,4,3,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,1,1,2,2,1,8,2,4,12
"36",36,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,5,5,5,4,4,4,3,5,4,4,4,4,5,4,4,4,4,4,4,2,2,2,2,1,2,1,1,1,4,1,3,11
"37",37,4,4,2,5,5,5,4,4,4,3,3,3,4,4,5,5,4,4,3,3,4,2,3,2,4,4,4,4,4,1,1,1,1,1,1,1,5,5,4,4,2,4,5,2,3,2,4,3,3,3,4,4,4,4,4,4,3,4,4,3,3,5,4,4,2,4,2,3,22
"38",38,5,4,5,5,5,4,4,5,5,4,4,3,4,5,5,5,5,5,5,4,5,3,3,2,2,2,5,5,4,1,1,1,1,1,1,1,5,4,3,4,3,5,5,2,5,1,1,2,3,4,4,4,4,4,5,5,3,4,5,3,2,5,6,6,2,4,1,3,22
"39",39,5,4,2,5,3,3,5,3,3,1,1,1,3,4,1,1,5,3,1,1,4,1,1,1,4,4,5,5,4,1,1,1,1,1,1,1,5,4,4,4,1,2,3,1,3,1,4,5,5,1,1,1,1,1,1,5,5,2,5,3,1,1,5,5,1,1,1,3,17
"40",40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,2,1,1,1,24
"41",41,5,4,4,4,5,5,4,4,5,2,2,3,2,4,4,4,5,3,2,2,4,2,4,4,3,3,4,4,3,1,1,1,1,1,1,1,4,5,3,4,4,4,4,3,5,3,4,4,4,3.15,3.36,3.12,3.06,2.96,3.3,3.68,2,2,2,3,3,3,2.54,2.89,1.58,3.95,2.24,2.74,15
"42",42,5,4,4,5,5,5,5,5,5,3,3,3,3,5,5,4,5,4,3,3,4,2,3,2,3,3,4,4,4,1,1,1,1,1,1,1,5,5,4,4,3,5,5,3,4,2,3,3,4,3,3,3,4,3,4,4,4,4,4,3,3,4,6,6,2,1,1,3,22
"43",43,5,5,5,5,5,5,5,5,5,1,1,1,5,5,3,5,5,5,5,1,5,3,5,5,3,3,5,5,5,1,1,1,1,1,1,1,5,5,5,5,1,5,5,4,5,1,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,3,3,1,6,1,3,30
"44",44,5,4,4,5,5,3,5,3,3,3,2,2,2,3,4,4,4,4,4,2,3,4,3,3,3,4,4,3,4,1,1,1,1,1,1,1,5,4,4,3,3,4,4,4,5,2,1,3,2,3,2,3,4,5,4,4,3,4,4,2,4,3,1,1,2,1,2,3,20
"45",45,5,3,4,5,5,5,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,3,4,5,3,4,2,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,2,5,1,3,27
"46",46,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,3,3,2,5,2,5,3,5,3,3,5,4,4,4,4,1,1,1,5,5,5,2,2,1,11,1,3,18
"47",47,4,3,2,4,5,3,4,3,4,2,2,2,4,5,2,2,4,3,3,2,4,2,2,3,2,2,5,5,2,1,1,1,1,1,1,1,5,4,4,4,2,4,4,3,4,2,3,1,1,1,1,1,2,1,1,2,4,3,4,1,2,3,1,1,2,2,1,3,17
"48",48,5,4,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,3,4,4,3,3,3,3,3,5,5,4,1,1,1,1,1,1,1,4,4,3,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,5,5,3,2,2,2,4,4,1,1,1,11,2,3,17
"49",49,3,4,5,4,4,4,4,3,4,4,4,4,4,4,5,3,4,3,4,4,3,2,3,2,3,3,4,4,4,1,1,1,1,1,1,1,4,5,3,4,4,4,5,2,4,2,4,4,3,3,5,4,5,4,3,3,1,2,2,1,1,3,1,1,1,2,1,1,10
"50",50,5,3,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,2,2,3,3,3,4,4,4,1,1,1,1,1,1,1,4,4,3,4,3,3,4,2,4,2,4,4,4,2,3,3,4,4,4,3,3,4,4,3,3,4,2,2,1,5,1,3,21
"51",51,5,3,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,3,5,3,3,3,4,5,5,5,4,1,1,1,1,1,1,1,5,5,5,5,3,5,5,5,5,5,3,4,5,4,4,4,4,4,4,4,2,2,2,3,4,4,2,2,1,3,2,1,17
"52",52,4,3,2,4,4,4,4,3,4,3,3,3,4,4,5,5,4,4,3,2,4,2,4,2,4,2,4,4,3,1,1,1,1,1,1,1,5,5,5,4,2,3,4,3,5,3,2,3,2,3,3,3,4,2,3,4,1,1,1,2,4,3,1,1,2,6,1,3,12
"53",53,3,3,3,4,5,5,5,4,4,3,2,3,4,4,4,4,3,4,4,3,5,2,2,1,4,3,5,4,4,1,1,1,1,1,1,1,5,5,4,5,4,4,5,2,5,2,5,4,5,4,5,4,5,5,5,4,3,3,2,4,4,4,4,4,2,8,1,1,20
"54",54,4,4,5,4,5,5,4,4,4,4,3,3,4,4,5,5,5,4,4,3,4,3,3,3,3,4,4,5,4,1,1,1,1,1,1,1,4,5,4,5,3,5,5,4,3,2,4,4,5,3,3,4,3,3,5,5,4,4,4,4,3,3,5,5,2,11,1,1,22
"55",55,5,3,4,5,5,5,5,5,5,3,3,3,5,5,5,5,5,3,5,2,4,4,4,4,2,2,5,5,3,1,1,1,1,1,1,1,5,5,2,5,2,5,5,3,5,1,3,2,4,2,3,3,3,3,3,2,4,4,5,4,4,4,7,7,2,7,3,4,25
"56",56,5,4,3,5,5,5,5,4,5,4,4,4,5,5,4,4,5,4,4,4,3,2,3,5,4,2,4,4,4,1,1,1,1,1,1,1,5,4,3,5,4,2,4,1,4,1,4,3,5,3,4,3,4,4,3,3,1,1,3,2,1,1,2,2,1,4,3,2,9
"57",57,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,5,3,5,5,5,3,4,4,5,4,5,5,4,1,3,2,2,3,5,5,2,11,2,3,15
"58",58,5,3,5,5,5,5,5,4,3,4,4,3,4,5,5,4,4,2,3,3,5,1,1,2,4,3,4,4,3,1,1,1,1,1,1,1,5,5,4,4,4,5,5,2,4,2,4,3,4,4,5,5,5,5,5,5,4,2,2,2,4,4,5,5,2,1,1,2,18
"59",59,4,3,2,5,5,4,4,3,4,3,3,3,5,4,5,5,4,4,4,3.085,3.84,2.59,3.28,2.92666666666667,3.09,3.21,4.135,4.14,3.67,1,1,1,1,1,1,1,5,4,4,3,3,4,5,3,4,1,3,2,5,2.97,3.14,2.99,2.99,3,3.38,3.11,3,3,3,2,3,3,3.28,2.61,1.72,4.31,2.1,3.02,17
"60",60,4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,3,3,3,4,3,4,4,3,2,4,4,4,1,1,1,1,1,1,1,4,4,3,4,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,4,3,3,3,3,4,4,3,3,1,7,1,3,20
"61",61,5,5,4,5,5,4,5,5,4,3,3,2,5,4,4,4,4,3,5,2,4,3,4,2,4,3,4,4,4,1,1,1,1,1,1,1,5,5,4,4,4,5,5,4,5,3,4,3,2,3,4,3,5,3,3,3,1,2,2,2,1,1,2,2,2,5,4,4,9
"62",62,5,4,4,4,5,4,4,5,5,3,3,3,4,4,5,5,5,5,4,3,3,2,3,2,3,3,5,5,4,1,1,1,1,1,1,1,5,4,5,4,3,4,5,3,3,3,3,3,3,2,2,2,2,2,2,3,5,4,5,4,3,3,2,2,2,3,5,4,24
"63",63,5,4,4,5,5,4,5,4,4,4,4,4,4,5,5,3,5,3,5,3,4,1,4,3,3,4,5,5,4,1,1,1,1,1,1,1,5,4,3,4,2,4,4,3,5,3,4,3,4,3,2,4,4,4,4,4,1,1,1,1,2,4,2,2,1,4,1,1,10
"64",64,4,4,4,5,5,5,5,4,5,4,4,3,4,4,5,5,5,3,4,3,4,3,4,3,3,4,5,5,4,1,1,1,1,1,1,1,5,5,5,4,2,4,5,4,4,2,3,3,3,2,4,3,2,2,2,5,4,2,4,3,3,3,1,1,1,10,3,5,19
"65",65,4,3,4,4,5,5,5,4,3,4,4,4,4,5,3,3,4,4,3,3,3,3,3,3,4,4,4,4,3,1,1,1,1,1,1,1,5,4,4,5,3,4,4,4,4,2,4,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,4,4,2,8,1,3,18
"66",66,5,3,2,5,5,3,5,4,5,3,3,2,2,4,3,4,5,1,5,2,4,1,1,3,5,3,5,4,3,1,1,1,1,1,1,1,5,4,4,4,2,2,5,3,4,1,4,3,3,2,2,2,2,4,2,2,3,4,4,3,4,5,4,4,2,3,1,3,23
"67",67,4,3,5,5,5,4,4,5,5,4,4,3,4,4,5,5,5,5,4,4,4,2,3,3,4,3,5,5,4,1,1,1,1,1,1,1,5,5,4,4,3,2,3,2,4,1,4,4,4,4,4,5,3,4,5,5,3,2,3,2,2,3,1,1,1,2,1,3,15
"68",68,5,4,3,5,5,5,4,5,5,3,3,2,5,4,5,4,5,5,3,3,4,2,3,1,3,3,5,5,4,1,1,1,1,1,1,1,5,4,2,4,4,4,5,2,5,1,2,1,1,2,2,2,2,2,2,5,2,2,2,2,4,4,6,6,2,2,1,1,16
"69",69,3,3,2,2,5,4,4,3,3,3,3,3,2,3,4,4,3,4,3,3,4,4,5,2,3,3,5,4,3,1,1,1,1,1,1,1,5,5,4,4,1,3,3,3,4,2,1,2,3,2,2,2,3,2,3,3,3,2,2,2,1,3,1,1,1,1,3,5,13
"70",70,5,5,5,5,5,5,5,5,5,4,3,4,4,3,5,5,5,5,5,3,5,3,4,2,3,3,5,5,4,1,1,1,1,1,1,1,5,5,5,5,3,5,5,4,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,1,1,3,17
"71",71,4,4,4,5,5,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,3,2,3,2,3,3,4,4,3,1,1,1,1,1,1,1,5,5,4,5,3,5,5,3,5,3,4,3,5,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,1,2,1,3,17
"72",72,5,5,4,4,4,5,5,4,4,4,4,3,4,4,5,5,5,4,4,4,4,2,2,2,4,4,4,5,4,1,1,1,1,1,1,1,4,5,4,4,3,4,4,4,4,3,4,4,4,4,5,4,5,4,4,4,2,2,4,4,4,4,2,2,2,4,4,2,20
"73",73,5,4,3,5,5,3,4,3,5,3,3,3,3,3,3,3,4,3,4,3,4,3,3,2,3,3,5,5,4,1,1,1,1,1,1,1,5,4,4,3,3,4,5,3,4,3,4,3,3,3,4,4,4,4,4,2,4,4,4,3,4,3,6,6,2,7,1,3,22
"74",74,4,4,2,5,4,4,3,2,4,4,4,5,4,2,5,2,4,4,5,4,5,4,4,5,2,5,4,4,5,1,1,1,1,1,1,1,4,5,3,4,2,3,5,3,5,4,4,2,4,4,4,5,5,4,4,2,3,2,2,2,4,4,1,1,1,1,1,3,17
"75",75,5,5,4,5,5,3,4,4,4,4,4,4,3,4,3,4,5,4,4,4,4,2,3,4,3,3,4,4,4,1,1,1,1,1,1,1,4,4,3,4,2,5,5,3,5,3,3,4,4,3,4,4,5,5,5,5,3,4,4,3,3,4,4,4,2,3,1,3,21
"76",76,4,4,4,4,2,4,4,4,4,3,3,3,4,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,5,5,4,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,5,5,4,2,3,4,3,3,2,2,2,8,3,3,19
"77",77,4,4,5,5,5,5,4,4,5,3,4,3,5,4,5,4,4,4,4,3,5,2,2,4,4,3,5,5,4,1,1,1,1,1,1,1,5,4,4,4,3,3,5,3,4,2,3,3,4,4,2,3,4,4,4,5,4,3,4,4,3,3,2,2,2,7,1,3,21
"78",78,4,3,4,4,5,5,5,5,4,4,3,4,4,5,3,4,4,3,4,3,5,3,3,2,4,4,5,5,4,1,1,1,1,1,1,1,4,3,4,4,4,5,5,2,2,2,4,4,4,3.13,3.45,3.15,3.45,3.32333333333333,3.53,3.62,1,1,1,2,3,4,2.464,2.66,1.66,4.38,2.33,3.005,12
"79",79,4,3,4,4,5,5,4,4,4,3,3,3,4,4,5,4,4,4,4,4,4,3,3,3,3,3,5,5,4,1,1,1,1,1,1,1,4,4,3,4,4,4,4,3,4,3,4,3,1,3,4,3,5,4,4,5,2,2,2,2,3,3,3,3,2,1,1,3,14
