"","Q1.Eco.Info.Important","Q2.Belief.In.Eco.Label","Q3.Understand.Eco.Certificate","Q4.Individuals.Can.Improve.Environment","Q5.Corporation.Can.Improve.Environment","Q6.Need.Eco.Certificate.Fashion","Q7.Eco.Cert.Help.Buyers","Q8.Seek.For.Eco.Cert.Clothes","Q9.Buy.Eco.Product","Q10.Pay.More.For.Eco.Products","Q11.Pay.Premium.For.Eco.Clothing","Q12.Ready.To.Pay.More.For.Certified.Eco.Products","Q13.Reduce.Consumption","Q14.Protect.Environment","Q15.Purchase.Less.Harmful.Clothing","Q16.Avoid.Buying.Harmful.Products","Q17.Support.Environmental.Protection","Q18.Rather.Buy.Eco.Clothes","Q19.Price.Of.Eco.Products.More.On.Average","Q20.Prefer.Purchase.More.Expensive.Clothing","Q21.Eco.Label.Brand.Socially.Acceptable","Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand","Q23.Rarely.Swith.Brand.To.Try.Something.New","Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded","Q25.Eco.Clothing.More.Fashionable","Q26.Eco.Clothing.Quality.Higher","Q27.Country.Can.Positively.Influence.Environment","Q28.Support.Eco.Protection.Socially.Responsible","Q29.Satisfied.Purchasing.Eco.Clothing","Q30a.Fair.Trade","Q30b.Fair.And.Care","Q30c.Global.Organic.Textile.Standard","Q30d.Fair.Wear.Foundation","Q30e.Clean.Clothes.Campaign","Q30f.Oeko.Tex","Q30g.I.Know.None.Of.Them","Q31a.Fit","Q31b.Comfort","Q31c.Fibre.Material","Q31d.Quality.Workmanship","Q31e.Garment.Life","Q31f.Colour","Q31g.Style","Q31h.Brand","Q31i.Price","Q31j.COO","Q31k.Durability","Q31l.Certified.Eco.Label","Q31m.Certified.Ethical.Label","Q38a.Less.Water.Use","Q38b.Air.Quality","Q38c.Less.Energy.Use","Q38d.Worker.Safety","Q38e.Fair.Wages","Q38f.No.Child.Labour","Q38g.No.Animal.Skin.Use","Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends","Q33.Little.Shopping.New.Fashion.Than.My.Friends","Q34.Last.Of.My.Circle.Purchase.New.Fashion","Q35.Faster.Knowing.More.About.New.Fashion.Than.Others","Q36.Interest.Buying.Locally.Available.New.Style","Q37.Consider.Buying.New.Styles.Without.Heard.About.It","Q39.Annual.Spending.On.Clothes","Q40.Employment.Status","Q41.Sex","Q42.Income","Q43.Age","Q44.Highest.Level.Of.Education","na_count","total_score"
"11",5,4,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,1,NA,1,NA,NA,NA,NA,5,5,5,5,4,4,4,3,3,3,4,5,5,2,2,2,2,2,5,2,3,2,3,2,3,2,4,3,2,4,4,3,5,15
"12",4,4,4,4,5,3,4,3,4,4,3,3,3,2,3,4,4,3,4,3,4,3,4,4,3,3,5,5,4,NA,NA,1,1,NA,NA,NA,5,5,4,5,4,4,4,4,5,4,4,4,3,3,3,2,2,2,5,3,4,3,4,3,3,3,4,4,1,7,2,4,5,20
"13",4,4,4,4,5,4,4,4,5,4,4,4,3,4,4,4,4,4,5,3,4,3,4,2,4,4,5,4,4,NA,NA,NA,NA,NA,NA,1,5,5,4,4,3,4,4,2,5,2,2,3,4,2,3,3,2,3,2,3,3,3,2,2,4,4,3,7,2,8,4,2,6,18
"14",4,4,4,4,4,4,4,3,3,3,3,2,3,3,4,4,4,3,3,2,3,3,4,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,4,4,4,4,4,2,4,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,4,2,1,1,3,6,18
"15",4,4,3,5,5,4,3,3,4,3,3,3,4,3,3,3,2,3,5,2,3,3,2,2,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,5,5,4,4,4,5,5,4,4,1,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,5,7,4,1,11,1,3,6,20
"16",5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,5,2,1,4,3,2,5,4,1,NA,NA,NA,NA,NA,NA,4,4,3,3,5,4,4,1,3,2,4,3,3,2,5,5,2,2,2,5,2,1,2,2,2,2,3,4,2,2,1,3,6,11
"17",5,3,4,5,4,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,NA,NA,NA,NA,NA,NA,1,5,4,4,4,4,4,4,4,4,3,4,4,5,2,2,2,2,2,2,2,3,2,3,3,3,3,1,6,1,1,2,1,6,17
"18",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,2,5,1,8,3,2,0,18
"19",5,5,5,4,5,5,4,4,4,3,2,2,3,4,5,4,5,4,3,3,4,2,2,2,4,3,5,5,4,NA,NA,NA,NA,NA,NA,1,4,5,3,4,2,4,4,3,3,3,3,4,4,2,2,2,5,5,5,5,2,2,1,3,2,3,2,6,2,2,4,1,6,13
"20",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,2,3,3,3,5,5,5,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,5,6,3,2,10,2,3,6,21
"21",4,4,3,4,3,4,4,4,4,3,3,3,4,5,5,4,5,4,4,4,4,2,2,4,4,4,5,5,4,NA,NA,NA,NA,NA,NA,1,4,5,4,5,4,4,5,5,4,4,4,4,4,2,5,2,5,2,5,5,3,3,4,4,4,4,2,3,2,3,4,2,6,22
"22",5,4,5,5,5,5,5,5,5,3,3,3,5,5,5,5,3,5,4,4,4,3,3,3,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,4,4,4,4,4,4,4,5,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,5,NA,NA,NA,NA,NA,NA,19,14
"23",5,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,4,3,3,4,2,4,4,4,3,NA,NA,NA,NA,NA,NA,1,5,4,4,5,4,4,4,4,3,3,4,2,3,3,3,3,2,2,5,5,2,2,2,3,3,3,2,4,2,1,1,3,6,15
"24",5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,4,4,4,5,5,3,5,2,5,4,4,2,2,3,2,2,3,2,2,2,2,2,2,3,3,4,2,1,1,3,6,13
"25",5,3,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,2,2,2,3,3,4,4,4,NA,NA,1,NA,NA,NA,NA,5,5,5,5,4,4,4,3,3,2,3,3,3,2,2,2,2,2,5,5,2,2,2,3,3,2,3,3,1,6,1,3,6,14
"26",5,5,4,4,5,4,5,4,5,3,3,3,3,4,5,4,4,4,4,3,5,2,3,3,3,3,3,4,4,NA,NA,1,NA,NA,NA,NA,5,5,5,4,3,4,4,4,5,3,4,5,5,3,5,5,5,5,5,5,4,4,4,3,4,4,7,4,2,8,2,3,6,23
"27",4,4,5,3,5,4,4,4,4,2,3,3,4,4,4,4,4,4,3,3,3,4,4,3,3,3,4,4,4,NA,1,1,NA,1,NA,NA,4,5,5,5,3,4,5,5,4,2,5,3,4,2,2,2,2,2,5,3,4,4,4,4,4,4,5,4,2,6,1,3,4,24
"28",3,4,4,5,5,3,3,3,4,3,3,4,4,3,4,4,3,3,3,3,4,2,3,2,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,4,4,4,3,4,4,4,3,2,4,3,3,3,3,3,3,3,2,3,4,4,3,2,3,4,2,4,2,11,1,4,6,20
"29",5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,1,3,1,3,4,4,5,4,NA,NA,NA,NA,NA,NA,1,4,5,5,3,5,3,3,3,4,3,4,4,4,2,2,2,5,2,5,5,4,2,3,3,3,2,3,3,2,4,2,4,6,17
"30",5,4,3,5,5,5,5,5,5,3,4,3,5,5,5,5,5,5,3,3,5,2,4,3,3,3,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,3,5,3,4,5,2,4,2,3,3,5,3,2,2,5,5,5,5,3,2,3,3,3,3,4,4,2,1,1,4,6,17
"31",4,3,4,4,5,5,3,3,5,3,3,3,4,3,4,3,3,3,5,3,3,2,4,2,5,3,5,4,3,NA,NA,1,NA,NA,NA,NA,5,4,4,5,3,3,4,2,5,1,3,3,3,2,2,2,3,2,2,1,1,1,2,3,3,4,1,1,2,1,1,3,6,14
"32",5,4,3,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,3,3,2,2,1,5,3,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,5,5,3,5,3,5,3,5,3,3,2,5,5,5,5,1,5,5,3,5,5,4,4,2,1,2,4,6,24
"33",5,4,2,5,5,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,4,4,4,3,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,4,5,3,4,4,3,4,2,3,3,4,2,2,2,2,2,2,3,2,2,2,2,4,3,4,4,2,2,1,3,6,15
"34",4,4,3,4,4,4,4,3,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,4,5,3,4,2,4,2,4,3,2,2,2,2,3,2,5,3,4,3,3,4,4,4,NA,1,1,1,7,22
"35",4,4,2,4,5,4,4,4,4,4,4,3,4,4,5,4,4,4,5,4,4,2,4,2,4,4,3,4,4,NA,NA,NA,NA,NA,NA,1,5,5,2,4,3,4,3,4,3,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,1,1,2,2,1,8,2,4,6,12
"36",5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,4,4,3,5,4,4,4,4,5,4,4,4,4,4,4,2,2,2,2,1,2,1,1,1,4,1,3,6,11
"37",4,4,2,5,5,5,4,4,4,3,3,3,4,4,5,5,4,4,3,3,4,2,3,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,4,4,2,4,5,2,3,2,4,3,3,3,4,4,4,4,4,4,3,4,4,3,3,5,4,4,2,4,2,3,6,22
"38",5,4,5,5,5,4,4,5,5,4,4,3,4,5,5,5,5,5,5,4,5,3,3,2,2,2,5,5,4,NA,NA,NA,NA,NA,NA,1,5,4,3,4,3,5,5,2,5,1,1,2,3,4,4,4,4,4,5,5,3,4,5,3,2,5,6,6,2,4,1,3,6,22
"39",5,4,2,5,3,3,5,3,3,1,1,1,3,4,1,1,5,3,1,1,4,1,1,1,4,4,5,5,4,NA,NA,NA,NA,NA,NA,1,5,4,4,4,1,2,3,1,3,1,4,5,5,1,1,1,1,1,1,5,5,2,5,3,1,1,5,5,1,1,1,3,6,17
"40",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,2,1,1,1,6,24
"41",5,4,4,4,5,5,4,4,5,2,2,3,2,4,4,4,5,3,2,2,4,2,4,4,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,4,5,3,4,4,4,4,3,5,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,NA,NA,NA,NA,NA,NA,19,15
"42",5,4,4,5,5,5,5,5,5,3,3,3,3,5,5,4,5,4,3,3,4,2,3,2,3,3,4,4,4,NA,NA,1,NA,NA,1,NA,5,5,4,4,3,5,5,3,4,2,3,3,4,3,3,3,4,3,4,4,4,4,4,3,3,4,6,6,2,1,1,3,5,22
"43",5,5,5,5,5,5,5,5,5,1,1,1,5,5,3,5,5,5,5,1,5,3,5,5,3,3,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,1,5,5,4,5,1,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,3,3,1,6,1,3,6,30
"44",5,4,4,5,5,3,5,3,3,3,2,2,2,3,4,4,4,4,4,2,3,4,3,3,3,4,4,3,4,NA,NA,NA,NA,NA,NA,1,5,4,4,3,3,4,4,4,5,2,1,3,2,3,2,3,4,5,4,4,3,4,4,2,4,3,1,1,2,1,2,3,6,20
"45",5,3,4,5,5,5,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,4,5,3,4,2,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,2,5,1,3,6,27
"46",5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,3,3,2,5,2,5,3,5,3,3,5,4,4,4,4,1,1,1,5,5,5,2,2,1,11,1,3,6,18
"47",4,3,2,4,5,3,4,3,4,2,2,2,4,5,2,2,4,3,3,2,4,2,2,3,2,2,5,5,2,NA,NA,NA,NA,NA,NA,1,5,4,4,4,2,4,4,3,4,2,3,1,1,1,1,1,2,1,1,2,4,3,4,1,2,3,1,1,2,2,1,3,6,17
"48",5,4,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,3,4,4,3,3,3,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,5,5,3,2,2,2,4,4,1,1,1,11,2,3,6,17
"49",3,4,5,4,4,4,4,3,4,4,4,4,4,4,5,3,4,3,4,4,3,2,3,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,5,3,4,4,4,5,2,4,2,4,4,3,3,5,4,5,4,3,3,1,2,2,1,1,3,1,1,1,2,1,1,6,10
"50",5,3,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,2,2,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,3,4,2,4,2,4,4,4,2,3,3,4,4,4,3,3,4,4,3,3,4,2,2,1,5,1,3,6,21
"51",5,3,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,3,5,3,3,3,4,5,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,5,5,5,5,5,3,4,5,4,4,4,4,4,4,4,2,2,2,3,4,4,2,2,1,3,2,1,6,17
"52",4,3,2,4,4,4,4,3,4,3,3,3,4,4,5,5,4,4,3,2,4,2,4,2,4,2,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,4,2,3,4,3,5,3,2,3,2,3,3,3,4,2,3,4,1,1,1,2,4,3,1,1,2,6,1,3,6,12
"53",3,3,3,4,5,5,5,4,4,3,2,3,4,4,4,4,3,4,4,3,5,2,2,1,4,3,5,4,4,NA,NA,NA,NA,NA,NA,1,5,5,4,5,4,4,5,2,5,2,5,4,5,4,5,4,5,5,5,4,3,3,2,4,4,4,4,4,2,8,1,1,6,20
"54",4,4,5,4,5,5,4,4,4,4,3,3,4,4,5,5,5,4,4,3,4,3,3,3,3,4,4,5,4,NA,NA,NA,NA,NA,NA,1,4,5,4,5,3,5,5,4,3,2,4,4,5,3,3,4,3,3,5,5,4,4,4,4,3,3,5,5,2,11,1,1,6,22
"55",5,3,4,5,5,5,5,5,5,3,3,3,5,5,5,5,5,3,5,2,4,4,4,4,2,2,5,5,3,NA,NA,NA,NA,NA,NA,1,5,5,2,5,2,5,5,3,5,1,3,2,4,2,3,3,3,3,3,2,4,4,5,4,4,4,7,7,2,7,3,4,6,25
"56",5,4,3,5,5,5,5,4,5,4,4,4,5,5,4,4,5,4,4,4,3,2,3,5,4,2,4,4,4,NA,NA,NA,NA,NA,NA,1,5,4,3,5,4,2,4,1,4,1,4,3,5,3,4,3,4,4,3,3,1,1,3,2,1,1,2,2,1,4,3,2,6,9
"57",5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,5,3,5,5,5,3,4,4,5,4,5,5,4,1,3,2,2,3,5,5,2,11,2,3,6,15
"58",5,3,5,5,5,5,5,4,3,4,4,3,4,5,5,4,4,2,3,3,5,1,1,2,4,3,4,4,3,1,NA,NA,NA,NA,NA,NA,5,5,4,4,4,5,5,2,4,2,4,3,4,4,5,5,5,5,5,5,4,2,2,2,4,4,5,5,2,1,1,2,6,18
"59",4,3,2,5,5,4,4,3,4,3,3,3,5,4,5,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,4,3,3,4,5,3,4,1,3,2,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,3,NA,NA,NA,NA,NA,NA,29,17
"60",4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,3,3,3,4,3,4,4,3,2,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,4,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,4,3,3,3,3,4,4,3,3,1,7,1,3,6,20
"61",5,5,4,5,5,4,5,5,4,3,3,2,5,4,4,4,4,3,5,2,4,3,4,2,4,3,4,4,4,NA,NA,1,NA,NA,NA,NA,5,5,4,4,4,5,5,4,5,3,4,3,2,3,4,3,5,3,3,3,1,2,2,2,1,1,2,2,2,5,4,4,6,9
"62",5,4,4,4,5,4,4,5,5,3,3,3,4,4,5,5,5,5,4,3,3,2,3,2,3,3,5,5,4,NA,NA,1,NA,NA,NA,1,5,4,5,4,3,4,5,3,3,3,3,3,3,2,2,2,2,2,2,3,5,4,5,4,3,3,2,2,2,3,5,4,5,24
"63",5,4,4,5,5,4,5,4,4,4,4,4,4,5,5,3,5,3,5,3,4,1,4,3,3,4,5,5,4,1,NA,NA,NA,NA,NA,NA,5,4,3,4,2,4,4,3,5,3,4,3,4,3,2,4,4,4,4,4,1,1,1,1,2,4,2,2,1,4,1,1,6,10
"64",4,4,4,5,5,5,5,4,5,4,4,3,4,4,5,5,5,3,4,3,4,3,4,3,3,4,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,4,2,4,5,4,4,2,3,3,3,2,4,3,2,2,2,5,4,2,4,3,3,3,1,1,1,10,3,5,6,19
"65",4,3,4,4,5,5,5,4,3,4,4,4,4,5,3,3,4,4,3,3,3,3,3,3,4,4,4,4,3,NA,NA,NA,NA,NA,NA,1,5,4,4,5,3,4,4,4,4,2,4,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,4,4,2,8,1,3,6,18
"66",5,3,2,5,5,3,5,4,5,3,3,2,2,4,3,4,5,1,5,2,4,1,1,3,5,3,5,4,3,NA,NA,NA,NA,NA,NA,1,5,4,4,4,2,2,5,3,4,1,4,3,3,2,2,2,2,4,2,2,3,4,4,3,4,5,4,4,2,3,1,3,6,23
"67",4,3,5,5,5,4,4,5,5,4,4,3,4,4,5,5,5,5,4,4,4,2,3,3,4,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,4,4,3,2,3,2,4,1,4,4,4,4,4,5,3,4,5,5,3,2,3,2,2,3,1,1,1,2,1,3,6,15
"68",5,4,3,5,5,5,4,5,5,3,3,2,5,4,5,4,5,5,3,3,4,2,3,1,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,4,2,4,4,4,5,2,5,1,2,1,1,2,2,2,2,2,2,5,2,2,2,2,4,4,6,6,2,2,1,1,6,16
"69",3,3,2,2,5,4,4,3,3,3,3,3,2,3,4,4,3,4,3,3,4,4,5,2,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,5,5,4,4,1,3,3,3,4,2,1,2,3,2,2,2,3,2,3,3,3,2,2,2,1,3,1,1,1,1,3,5,6,13
"70",5,5,5,5,5,5,5,5,5,4,3,4,4,3,5,5,5,5,5,3,5,3,4,2,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,5,5,4,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,1,1,3,6,17
"71",4,4,4,5,5,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,3,2,3,2,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,4,5,3,5,5,3,5,3,4,3,5,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,1,2,1,3,6,17
"72",5,5,4,4,4,5,5,4,4,4,4,3,4,4,5,5,5,4,4,4,4,2,2,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,1,4,5,4,4,3,4,4,4,4,3,4,4,4,4,5,4,5,4,4,4,2,2,4,4,4,4,2,2,2,4,4,2,6,20
"73",5,4,3,5,5,3,4,3,5,3,3,3,3,3,3,3,4,3,4,3,4,3,3,2,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,4,4,3,3,4,5,3,4,3,4,3,3,3,4,4,4,4,4,2,4,4,4,3,4,3,6,6,2,7,1,3,6,22
"74",4,4,2,5,4,4,3,2,4,4,4,5,4,2,5,2,4,4,5,4,5,4,4,5,2,5,4,4,5,NA,NA,NA,NA,NA,NA,1,4,5,3,4,2,3,5,3,5,4,4,2,4,4,4,5,5,4,4,2,3,2,2,2,4,4,1,1,1,1,1,3,6,17
"75",5,5,4,5,5,3,4,4,4,4,4,4,3,4,3,4,5,4,4,4,4,2,3,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,4,2,5,5,3,5,3,3,4,4,3,4,4,5,5,5,5,3,4,4,3,3,4,4,4,2,3,1,3,6,21
"76",4,4,4,4,2,4,4,4,4,3,3,3,4,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,5,5,4,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,5,5,4,2,3,4,3,3,2,2,2,8,3,3,6,19
